,2019Score,2019Score,2019Score,2019Score,2019Score,2019Score,2019Score,2019Score
,count,mean,std,min,25%,50%,75%,max
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,36.0,60.86045560575002,9.810532480653963,33.84,55.455,60.57000000000001,66.29499999999999,80.08
std,13.546217184144066,5.1650057477738125,2.981325028506744,18.458277276062358,5.363575067061149,5.19778799105927,5.891344286323794,6.474333942576643
min,14.0,54.18297872340425,6.851221708617686,5.9,50.099999999999994,54.0,57.8,73.0
25%,32.0,59.60000000000001,7.219397757278536,25.9,53.225,57.8,65.6,77.6
50%,43.0,60.63488372093025,9.324303585932695,38.9,54.724999999999994,60.9,66.475,77.7
75%,44.0,61.25714285714286,11.927604199313619,46.2,54.8,62.2,67.22500000000001,81.9
max,47.0,68.62727272727274,13.730135152127277,52.3,64.425,67.94999999999999,74.375,90.2
